iter	Passed	Remaining
0	5	5577
1	10	5337
2	17	5919
3	23	5787
4	38	7635
5	43	7191
6	48	6886
7	53	6591
8	57	6317
9	61	6111
10	66	5987
11	71	5879
12	76	5778
13	81	5710
14	96	6333
15	101	6212
16	104	6061
17	108	5933
18	112	5831
19	116	5718
20	120	5623
21	124	5536
22	129	5500
23	134	5465
24	139	5448
25	145	5445
26	150	5426
27	156	5417
28	162	5434
29	166	5397
30	172	5388
31	177	5369
32	182	5350
33	187	5320
34	193	5322
35	198	5316
36	205	5346
37	210	5341
38	215	5319
39	220	5292
40	225	5277
41	231	5273
42	236	5258
43	241	5238
44	246	5230
45	251	5221
46	257	5216
47	262	5205
48	267	5182
49	272	5170
50	276	5152
51	281	5132
52	285	5108
53	290	5094
54	295	5078
55	299	5051
56	304	5040
57	311	5060
58	318	5079
59	325	5105
60	332	5122
61	340	5147
62	346	5158
63	353	5165
64	359	5175
65	366	5189
66	373	5197
67	380	5209
68	387	5222
69	392	5217
70	397	5207
71	404	5210
72	411	5224
73	417	5224
74	424	5241
75	431	5244
76	437	5241
77	443	5239
78	450	5254
79	456	5249
80	462	5251
81	471	5274
82	477	5274
83	482	5262
84	488	5254
85	494	5253
86	499	5246
87	505	5237
88	510	5230
89	516	5223
90	521	5205
91	526	5198
92	532	5190
93	537	5177
94	542	5171
95	548	5161
96	553	5156
97	559	5150
98	564	5138
99	569	5127
100	574	5117
101	579	5103
102	584	5093
103	589	5079
104	594	5068
105	600	5063
106	605	5051
107	610	5039
108	615	5029
109	620	5019
110	625	5007
111	630	5001
112	635	4985
113	639	4969
114	644	4959
115	648	4945
116	653	4930
117	657	4917
118	663	4909
119	667	4895
120	671	4879
121	676	4866
122	680	4854
123	685	4841
124	689	4829
125	694	4817
126	698	4804
127	703	4792
128	707	4778
129	712	4765
130	716	4753
131	720	4740
132	725	4726
133	729	4717
134	734	4704
135	737	4687
136	742	4676
137	746	4663
138	750	4646
139	754	4635
140	758	4621
141	763	4611
142	767	4601
143	771	4584
144	776	4575
145	780	4567
146	784	4553
147	789	4542
148	793	4530
149	797	4516
150	801	4505
151	806	4498
152	810	4489
153	815	4478
154	820	4473
155	825	4465
156	829	4452
157	833	4443
158	838	4432
159	842	4424
160	846	4412
161	850	4398
162	854	4387
163	858	4377
164	862	4365
165	867	4357
166	871	4345
167	874	4331
168	879	4322
169	883	4312
170	887	4304
171	899	4329
172	903	4317
173	907	4307
174	912	4299
175	916	4289
176	920	4278
177	923	4266
178	927	4254
179	932	4248
180	936	4239
181	940	4228
182	946	4223
183	949	4212
184	954	4203
185	958	4195
186	962	4186
187	967	4179
188	971	4170
189	976	4161
190	980	4153
191	984	4144
192	989	4138
193	993	4128
194	998	4121
195	1002	4113
196	1006	4102
197	1011	4095
198	1015	4087
199	1019	4077
200	1024	4070
201	1028	4062
202	1032	4052
203	1036	4045
204	1040	4035
205	1045	4029
206	1049	4022
207	1054	4014
208	1058	4007
209	1063	4000
210	1067	3992
211	1071	3982
212	1076	3977
213	1080	3967
214	1083	3957
215	1088	3949
216	1091	3939
217	1096	3932
218	1100	3923
219	1104	3916
220	1108	3907
221	1112	3897
222	1116	3890
223	1120	3882
224	1125	3875
225	1129	3867
226	1133	3860
227	1137	3852
228	1141	3844
229	1145	3834
230	1149	3827
231	1154	3821
232	1158	3812
233	1162	3805
234	1167	3801
235	1172	3794
236	1176	3789
237	1181	3783
238	1186	3778
239	1190	3771
240	1196	3767
241	1201	3764
242	1206	3759
243	1211	3753
244	1216	3748
245	1221	3744
246	1226	3739
247	1231	3733
248	1236	3728
249	1240	3721
250	1245	3717
251	1250	3713
252	1257	3713
253	1263	3711
254	1270	3710
255	1276	3709
256	1282	3708
257	1288	3704
258	1293	3701
259	1298	3696
260	1303	3691
261	1308	3686
262	1314	3682
263	1319	3679
264	1324	3674
265	1329	3669
266	1335	3665
267	1340	3662
268	1345	3656
269	1350	3652
270	1356	3648
271	1361	3642
272	1365	3636
273	1370	3632
274	1375	3626
275	1380	3620
276	1385	3616
277	1390	3610
278	1394	3604
279	1400	3600
280	1404	3594
281	1409	3589
282	1414	3583
283	1419	3577
284	1423	3571
285	1428	3566
286	1433	3560
287	1437	3554
288	1442	3548
289	1447	3544
290	1454	3542
291	1475	3576
292	1480	3572
293	1486	3568
294	1492	3566
295	1497	3560
296	1502	3557
297	1507	3551
298	1512	3546
299	1517	3539
300	1521	3533
301	1526	3527
302	1531	3522
303	1536	3517
304	1540	3510
305	1545	3505
306	1550	3499
307	1554	3493
308	1559	3487
309	1564	3481
310	1568	3474
311	1573	3469
312	1578	3464
313	1582	3458
314	1587	3451
315	1592	3446
316	1597	3442
317	1602	3437
318	1606	3430
319	1611	3424
320	1615	3417
321	1619	3409
322	1623	3402
323	1627	3395
324	1631	3389
325	1636	3382
326	1640	3375
327	1644	3369
328	1649	3363
329	1653	3356
330	1657	3349
331	1661	3343
332	1665	3336
333	1669	3329
334	1674	3323
335	1678	3317
336	1682	3310
337	1687	3304
338	1691	3298
339	1695	3291
340	1699	3284
341	1703	3277
342	1707	3271
343	1711	3264
344	1715	3256
345	1719	3250
346	1723	3242
347	1727	3236
348	1731	3229
349	1735	3223
350	1739	3215
351	1742	3208
352	1751	3210
353	1755	3204
354	1760	3198
355	1764	3191
356	1768	3184
357	1772	3178
358	1776	3171
359	1780	3165
360	1784	3159
361	1789	3154
362	1793	3147
363	1797	3140
364	1801	3134
365	1805	3128
366	1809	3120
367	1813	3114
368	1817	3107
369	1820	3100
370	1825	3094
371	1828	3087
372	1832	3081
373	1836	3074
374	1840	3067
375	1844	3061
376	1848	3053
377	1852	3047
378	1855	3040
379	1859	3034
380	1863	3027
381	1866	3020
382	1871	3014
383	1875	3008
384	1879	3002
385	1884	2996
386	1887	2989
387	1891	2983
388	1895	2976
389	1899	2971
390	1904	2966
391	1908	2960
392	1912	2954
393	1917	2949
394	1921	2943
395	1925	2936
396	1929	2930
397	1933	2924
398	1938	2919
399	1943	2914
400	1947	2909
401	1951	2903
402	1957	2899
403	1962	2895
404	1966	2889
405	1971	2884
406	1976	2880
407	1982	2877
408	1988	2873
409	1995	2870
410	2001	2868
411	2007	2864
412	2013	2861
413	2019	2858
414	2024	2854
415	2029	2849
416	2036	2846
417	2041	2842
418	2047	2838
419	2052	2833
420	2057	2829
421	2061	2824
422	2066	2818
423	2071	2814
424	2076	2809
425	2081	2804
426	2086	2800
427	2092	2796
428	2097	2791
429	2102	2786
430	2108	2782
431	2113	2779
432	2119	2775
433	2123	2769
434	2128	2764
435	2133	2759
436	2142	2759
437	2148	2756
438	2153	2752
439	2157	2746
440	2161	2740
441	2166	2735
442	2174	2733
443	2181	2732
444	2186	2727
445	2193	2724
446	2201	2723
447	2209	2722
448	2216	2719
449	2222	2715
450	2228	2712
451	2233	2707
452	2238	2703
453	2244	2699
454	2250	2695
455	2255	2691
456	2261	2686
457	2266	2682
458	2272	2678
459	2277	2674
460	2283	2669
461	2289	2665
462	2294	2661
463	2300	2656
464	2305	2653
465	2311	2648
466	2316	2644
467	2322	2639
468	2327	2634
469	2331	2629
470	2337	2625
471	2342	2620
472	2348	2616
473	2353	2611
474	2358	2607
475	2363	2602
476	2369	2597
477	2374	2593
478	2380	2589
479	2387	2586
480	2399	2588
481	2406	2586
482	2417	2587
483	2424	2584
484	2433	2583
485	2441	2582
486	2448	2578
487	2455	2576
488	2460	2571
489	2467	2568
490	2474	2565
491	2481	2561
492	2487	2558
493	2494	2554
494	2500	2550
495	2506	2547
496	2512	2543
497	2520	2540
498	2526	2536
499	2531	2531
500	2536	2526
501	2542	2522
502	2548	2518
503	2553	2513
504	2559	2508
505	2564	2504
506	2571	2500
507	2577	2496
508	2583	2492
509	2589	2488
510	2595	2483
511	2602	2480
512	2607	2475
513	2614	2472
514	2621	2468
515	2626	2463
516	2630	2457
517	2635	2452
518	2640	2447
519	2645	2442
520	2650	2437
521	2655	2431
522	2661	2427
523	2666	2422
524	2671	2417
525	2677	2413
526	2682	2407
527	2701	2415
528	2705	2409
529	2712	2405
530	2717	2400
531	2723	2395
532	2727	2390
533	2732	2384
534	2736	2378
535	2739	2371
536	2746	2368
537	2751	2363
538	2756	2357
539	2762	2353
540	2767	2347
541	2773	2343
542	2779	2339
543	2784	2334
544	2789	2328
545	2794	2323
546	2799	2318
547	2805	2313
548	2811	2309
549	2815	2303
550	2832	2308
551	2837	2302
552	2843	2298
553	2851	2295
554	2856	2290
555	2862	2285
556	2868	2281
557	2874	2276
558	2881	2273
559	2887	2268
560	2892	2263
561	2897	2258
562	2902	2252
563	2907	2247
564	2913	2242
565	2918	2237
566	2923	2232
567	2928	2227
568	2933	2222
569	2939	2217
570	2944	2212
571	2949	2206
572	2955	2202
573	2960	2197
574	2965	2192
575	2970	2186
576	2977	2183
577	2984	2178
578	2991	2174
579	2998	2171
580	3007	2168
581	3015	2165
582	3020	2160
583	3030	2158
584	3043	2158
585	3056	2159
586	3062	2154
587	3068	2150
588	3074	2145
589	3079	2139
590	3084	2134
591	3091	2130
592	3096	2125
593	3102	2120
594	3107	2115
595	3112	2109
596	3118	2104
597	3123	2100
598	3129	2094
599	3134	2089
600	3139	2083
601	3144	2079
602	3152	2075
603	3160	2072
604	3171	2070
605	3180	2067
606	3188	2064
607	3196	2060
608	3205	2057
609	3211	2053
610	3220	2050
611	3227	2045
612	3234	2042
613	3242	2038
614	3249	2034
615	3258	2031
616	3267	2028
617	3275	2024
618	3282	2020
619	3292	2017
620	3300	2014
621	3308	2010
622	3315	2006
623	3324	2003
624	3333	2000
625	3340	1995
626	3347	1991
627	3356	1988
628	3363	1984
629	3370	1979
630	3377	1974
631	3384	1970
632	3391	1966
633	3398	1962
634	3405	1957
635	3412	1953
636	3418	1948
637	3424	1943
638	3431	1938
639	3437	1933
640	3455	1935
641	3461	1930
642	3468	1925
643	3473	1920
644	3480	1915
645	3486	1910
646	3492	1905
647	3499	1900
648	3504	1895
649	3509	1889
650	3515	1884
651	3520	1878
652	3525	1873
653	3531	1868
654	3536	1862
655	3542	1857
656	3548	1852
657	3555	1847
658	3560	1842
659	3566	1837
660	3571	1831
661	3576	1826
662	3585	1822
663	3591	1817
664	3596	1811
665	3601	1806
666	3606	1800
667	3611	1794
668	3617	1789
669	3622	1784
670	3627	1778
671	3633	1773
672	3638	1767
673	3643	1762
674	3648	1756
675	3653	1750
676	3657	1744
677	3661	1739
678	3667	1733
679	3671	1727
680	3676	1722
681	3681	1716
682	3685	1710
683	3690	1704
684	3694	1698
685	3699	1693
686	3703	1687
687	3707	1681
688	3712	1675
689	3716	1669
690	3721	1663
691	3725	1658
692	3730	1652
693	3735	1646
694	3740	1641
695	3745	1635
696	3751	1630
697	3755	1624
698	3760	1619
699	3766	1614
700	3770	1608
701	3775	1602
702	3780	1597
703	3785	1591
704	3789	1585
705	3794	1580
706	3800	1575
707	3805	1569
708	3812	1564
709	3817	1559
710	3836	1559
711	3840	1553
712	3845	1547
713	3850	1542
714	3855	1536
715	3860	1531
716	3865	1525
717	3870	1520
718	3875	1514
719	3880	1509
720	3885	1503
721	3890	1497
722	3895	1492
723	3899	1486
724	3904	1481
725	3909	1475
726	3914	1469
727	3918	1464
728	3923	1458
729	3928	1452
730	3932	1447
731	3938	1441
732	3943	1436
733	3948	1430
734	3953	1425
735	3958	1419
736	3963	1414
737	3969	1409
738	3974	1403
739	3979	1398
740	3986	1393
741	3991	1387
742	3995	1382
743	3999	1376
744	4004	1370
745	4009	1365
746	4015	1359
747	4019	1354
748	4024	1348
749	4030	1343
750	4036	1338
751	4042	1333
752	4047	1327
753	4053	1322
754	4058	1316
755	4062	1311
756	4068	1305
757	4074	1300
758	4079	1295
759	4084	1289
760	4089	1284
761	4095	1279
762	4102	1274
763	4109	1269
764	4117	1264
765	4125	1260
766	4132	1255
767	4138	1250
768	4144	1244
769	4150	1239
770	4155	1234
771	4161	1229
772	4167	1223
773	4173	1218
774	4179	1213
775	4184	1207
776	4190	1202
777	4196	1197
778	4201	1191
779	4207	1186
780	4213	1181
781	4219	1176
782	4224	1170
783	4229	1165
784	4236	1160
785	4241	1154
786	4247	1149
787	4252	1144
788	4258	1138
789	4263	1133
790	4269	1128
791	4274	1122
792	4279	1117
793	4284	1111
794	4289	1106
795	4296	1101
796	4306	1096
797	4313	1091
798	4323	1087
799	4333	1083
800	4341	1078
801	4349	1073
802	4355	1068
803	4360	1062
804	4366	1057
805	4375	1053
806	4381	1047
807	4387	1042
808	4393	1037
809	4400	1032
810	4408	1027
811	4414	1022
812	4423	1017
813	4429	1012
814	4435	1006
815	4441	1001
816	4449	996
817	4458	991
818	4465	986
819	4472	981
820	4478	976
821	4484	971
822	4493	966
823	4504	962
824	4521	959
825	4528	953
826	4537	949
827	4547	944
828	4556	939
829	4564	934
830	4571	929
831	4578	924
832	4587	919
833	4593	914
834	4603	909
835	4612	904
836	4619	899
837	4625	894
838	4632	888
839	4638	883
840	4645	878
841	4651	872
842	4658	867
843	4671	863
844	4679	858
845	4684	852
846	4692	847
847	4701	842
848	4706	837
849	4712	831
850	4717	826
851	4725	820
852	4731	815
853	4741	810
854	4748	805
855	4754	799
856	4760	794
857	4767	789
858	4775	783
859	4783	778
860	4790	773
861	4797	767
862	4804	762
863	4811	757
864	4820	752
865	4825	746
866	4831	741
867	4837	735
868	4841	729
869	4848	724
870	4854	718
871	4860	713
872	4867	708
873	4873	702
874	4879	697
875	4886	691
876	4892	686
877	4897	680
878	4903	674
879	4908	669
880	4914	663
881	4921	658
882	4928	653
883	4935	647
884	4941	642
885	4949	636
886	4956	631
887	4963	625
888	4969	620
889	4976	615
890	4983	609
891	4991	604
892	4998	598
893	5004	593
894	5016	588
895	5022	582
896	5030	577
897	5036	572
898	5044	566
899	5053	561
900	5064	556
901	5072	551
902	5080	545
903	5087	540
904	5094	534
905	5100	529
906	5106	523
907	5114	518
